CONSTITUENCY: ST. ANDREW SOUTH WESTERN (8),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: WHITFIELD TOWN (20),,,,,,,,,
15 15 PLATFIELD BIBLE TRUTH CHURCH OF GOD,41,69,,,,0,110,60.44%,182
16 16 ZEPHENIAH WHITFIELD'S PREMISES,52,66,,,,1,119,56.13%,212
17 17 LUCKY HILL BASIC SCHOOL,5,52,,,,0,57,60.64%,94
18 18 ABRAHAM ALLEN'S PREMISES,29,85,,,,0,114,64.77%,176
19 19 FREE TOWN BIBLE TRUTH CHURCH OF GOD,38,90,,,,0,128,61.24%,209
20 20 PAUL BEVERLEY'S PREMISES,70,117,,,,1,188,60.45%,311
21 21 PAUL BEVERLEY'S PREMISES,69,57,,,,0,126,52.28%,241
22 22 PLATFIELD BIBLE TRUTH CHURCH OF GOD,40,44,,,,0,84,68.85%,122
23 23 RICHMOND ROAD PRIMARY SCHOOL,62,105,,,,0,167,65.49%,255
24 24 MOUNT REGALE UNITED CHURCH,46,73,,,,0,119,70.00%,170
25 25 MOUNT REGALE UNITED CHURCH,59,34,,,,0,93,56.71%,164
26 26 MOUNT REGALE UNITED CHURCH,69,42,,,,1,112,68.71%,163
ELECTORAL DIVISION TOTALS 26 PSs,"1,510","1,834",0,0,0,15,"3,359",61.93%,"5,424"
CONSTITUENCY: ST. MARY SOUTH EASTERN (20),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: CASTLETON (2),,,,,,,,,
27 27 MT.OLIVE LIGHT HOUSE REDEEM  CHURCH OF GO,32,49,,,,0,81,60.45%,134
28 28 LUNA SEVENTH DAY BAPTIST CHURCH,75,93,,,,3,171,57.00%,300
29 29 LUNA SEVENTH DAY BAPTIST CHURCH,66,43,,,,0,109,54.23%,201
30 30 PROVIDENCE UNITED CHURCH,69,113,,,,1,183,48.28%,379
31 31 PROVIDENCE UNITED CHURCH,42,111,,,,1,154,54.23%,284
32 32 SCOTTS HALL PRIMARY SCHOOL,74,134,,,,0,208,60.29%,345
33 33 MT.OLIVE LIGHT HOUSE REDEEM  CHURCH OF GO,26,73,,,,0,99,54.70%,181
34 34 ARTHUR THOMPSON'S PREMISES,18,66,,,,2,86,68.80%,125
35 35 LEINSTER GOSPEL CHAPEL,53,44,,,,2,99,63.06%,157
36 36 ROCK RIVER ALL AGE SCHOOL,62,88,,,,0,150,69.12%,217
37 37 SCOTTS HALL PRIMARY SCHOOL,72,84,,,,4,160,62.99%,254
38 38 SCOTTS HALL PRIMARY SCHOOL,42,92,,,,0,134,61.75%,217
39 39 CASTLETON UNITED CHURCH,35,92,,,,2,129,50.19%,257
40 40 CASTLETON UNITED CHURCH,91,130,,,,5,226,53.05%,426
41 41 DEVON PEN ALL AGE SCHOOL,42,47,,,,2,91,67.91%,134
42 42 STANLEY SHAW'S PREMISES,32,149,,,,1,182,56.00%,325
43 43 CASTLETON PRIMARY & JUNIOR HIGH,40,89,,,,1,130,60.47%,215
