POLLING STATION LOCATION,PNP DAWKINS EARL A.,JLP MCKENZIE DESMOND ANTHONY A.,MGPPP SEATON ARLINGTON ANTHONY,,,"BALLOTS
REJECTED","TOTAL VOTES 
(including
rejected ballots",PERCENT (%) VOTES,"ELECTORS
ON OFFICIAL
VOTERS LIST",CONSTITUENCY,ELECTORAL DIVISION
85 85 GORDONWOOD BASIC SCHOOL,0,2,0,27,10,0,39,17.6,221,,
86 86 GORDONWOOD BASIC SCHOOL,0,0,0,106,15,0,121,30.2,401,,
87 87 ST DOROTHYS ANLICAN CHURCH HALL,0,0,0,61,32,2,95,27,352,,
88 88 ST DOROTHYS ANLICAN CHURCH HALL,1,1,1,51,28,2,84,29.4,286,,
89 89 ST DOROTHYS ANLICAN CHURCH HALL,0,1,0,49,8,0,58,22.9,253,,
90 90 MARLIE MOUNT PRIMARY SCHOOL,0,3,0,12,21,1,37,10.4,356,,
91 91 MARLIE MOUNT PRIMARY SCHOOL,0,4,0,8,11,1,24,15.4,156,,
92 92 MARLIE MOUNT PRIMARY SCHOOL,1,6,0,34,27,3,71,16.9,419,,
93 93 MARLIE MOUNT PRIMARY SCHOOL,0,0,0,39,39,0,78,21.5,363,,
94 94 MARLIE MOUNT PRIMARY SCHOOL,1,0,0,25,27,0,53,27.2,195,,
95 95 ST DOROTHYS ANLICAN CHURCH HALL,0,1,0,124,6,3,134,33.1,405,,
96 96 ST DOROTHYS ANLICAN CHURCH HALL,0,1,0,22,8,0,31,14.8,209,,
97 97 ST DOROTHYS ANLICAN CHURCH HALL,0,0,0,9,41,0,50,18.5,270,,
98 98 NIGHTENGALE GROVE BASIC,0,4,1,18,30,1,54,16.7,323,,
99 99 SHILOH BAPTIST CHURCH,1,1,0,37,44,2,85,31.4,271,,
100 100 SHILOH BAPTIST CHURCH,0,0,1,40,26,0,67,19.4,345,,
101 101 SHILOH BAPTIST CHURCH,1,1,2,60,35,1,100,27.4,365,,
102 102 SPRING VILLAGE SEVENTH DAY ADVENTIST,1,0,0,30,28,1,60,17.6,340,,
103 103 NIGHTENGALE GROVE BASIC,1,1,1,15,21,0,39,15.4,253,,
104 104 NIGHTENGALE GROVE BASIC,0,3,0,19,17,0,39,17.9,218,,
105 105 SPRING VILLAGE SEVENTH DAY ADVENTIST,1,1,1,47,40,1,91,24.7,368,,
106 106 SPRING VILLAGE SEVENTH DAY ADVENTIST,0,1,0,10,5,0,16,10.6,151,,
107 107 MCCOOKS SEVENTH DAY ADVENTIST CHURCH,0,1,0,46,1,0,48,26.1,184,,
ELECTORAL DIVISION TOTALS 32 PSs,11,46,8,"1,307",675,20,"2,067",21.9,"9,428",,
CONSTITUENCY: ST. CATHERINE SOUTH WESTERN (53),,,,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,,,
ELECTORAL DIVISION: SYDENHAM (9),,,,,,,,,,,
108 108 TREE OF LIFE CHURCH OF GOD,0,5,0,6,5,0,16,7.4,215,,
109 109 TREE OF LIFE CHURCH OF GOD,1,5,0,29,7,0,42,10.6,397,,
110 110 TREE OF LIFE CHURCH OF GOD,0,5,0,2,1,0,8,6.8,118,,
